店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
k2WKyoGQw2GJmaja,野人先生现做冰淇淋(大庆新玛特店),23条评价,￥31,冰淇淋,新玛特,https://www.dianping.com/shop/k2WKyoGQw2GJmaja,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l3CsdlJE55hja2V3,庆乳·庆小美(毅腾商都店),100条评价,￥11,冰淇淋,萨尔图区,https://www.dianping.com/shop/l3CsdlJE55hja2V3,http://p1.meituan.net/merchant/41e899ce87bc7b67f8928463ca67f1d991019.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
F48HFl3vmYsGhlmK,欢乐十八喜冰淇淋蛋糕(大庆店),88条评价,￥101,面包烘焙,万达广场,https://www.dianping.com/shop/F48HFl3vmYsGhlmK,https://p0.meituan.net/biztone/284c3f788c018deac1df153eb378477260951.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
EJ6QPYdl1Lw16wax,露心心冰淇淋,2条评价,￥0,冰淇淋,龙凤区,https://www.dianping.com/shop/EJ6QPYdl1Lw16wax,http://p0.meituan.net/poipicadd/bcb3a14293d774b24a3fcda8cc70fc8a61873.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G7mzoM0MA65YrJqz,冰冰酱绵绵冰,34条评价,￥24,冰淇淋,万达广场,https://www.dianping.com/shop/G7mzoM0MA65YrJqz,http://p0.meituan.net/poipicadd/314ebeff8b8e259ae53eeb9e31fbebf449164.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
FwiH6HG5iTgo4hm0,冰淇淋,-,￥34,冰淇淋,肇源县,https://www.dianping.com/shop/FwiH6HG5iTgo4hm0,http://p1.meituan.net/poipicadd/cf7fb886ccc05484331c4b1a98cfb5a5237651.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
G2YLllA74tgxfU0J,完达山乳此新鲜(萨尔图万达店),81条评价,￥11,茶饮果汁,万达广场,https://www.dianping.com/shop/G2YLllA74tgxfU0J,http://p0.meituan.net/merchant/3d646d51149a8362bbfd7e157d85222f35953.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l8OZIY8mEBd1ho6J,野人先生现做冰淇淋(大庆萨尔图万达店),35条评价,￥13,冰淇淋,万达广场,https://www.dianping.com/shop/l8OZIY8mEBd1ho6J,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H3znsRMh1EuoujQp,波比艾斯(让胡路万达甜品站),50条评价,￥11,冰淇淋,阳光嘉城,https://www.dianping.com/shop/H3znsRMh1EuoujQp,https://img.meituan.net/content/9b9b7a1d5bbd8e5839b0e497b413050e112599.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k5RzRr1N4sLHVurJ,庆乳·庆小美·奶茶·冰淇淋,-,￥14,冰淇淋,县中心城区,https://www.dianping.com/shop/k5RzRr1N4sLHVurJ,http://p0.meituan.net/poipicadd/846c6bbfcd0a152114aaa12ab0faaf71419743.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
l149Sam4RUyIaYOV,露心冰淇淋批发(东方玫瑰园店),2条评价,￥11,冰淇淋,东方玫瑰园,https://www.dianping.com/shop/l149Sam4RUyIaYOV,http://p1.meituan.net/wmproduct/e4fdf30a879edf6e0579856f1d32d1af64508.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l9zATYk9HLWSE2of,野人先生现做冰淇淋(大庆让胡路万达店),48条评价,￥21,冰淇淋,阳光嘉城,https://www.dianping.com/shop/l9zATYk9HLWSE2of,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G3BxRwju63qL3GQj,雪峰冰淇淋,-,￥0,冰淇淋,肇源县中心城区,https://www.dianping.com/shop/G3BxRwju63qL3GQj,http://p0.meituan.net/poipicadd/775ab69f5027c73b5c9773bb3af4c09698807.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
